"AssetClass","Symbol","Strike","Expiry","Put/Call","TradeID","Date/Time","ReportDate","TradeDate","Buy/Sell","Quantity","Price","Amount","NetCash","Commission"
"STK","MSFT","","","","","","MULTI","MULTI","BUY","70","399.762","27983.34","-27986.34","-3"
"STK","MSFT","","","","","20260205;093800","20260205","20260205","BUY","20","404.55","8091","-8092","-1"
"STK","MSFT","","","","8957074408","20260205;093800","20260205","20260205","BUY","20","404.55","8091","-8092","-1"
"STK","MSFT","","","","","20260218;093000","20260218","20260218","BUY","25","398.0336","9950.84","-9951.84","-1"
"STK","MSFT","","","","9024411764","20260218;093000","20260218","20260218","BUY","14","398.06","5572.84","-5573.84","-1"
"STK","MSFT","","","","9024411784","20260218;093000","20260218","20260218","BUY","10","398","3980","-3980","0"
"STK","MSFT","","","","9024411925","20260218;093000","20260218","20260218","BUY","1","398","398","-398","0"
"STK","MSFT","","","","","20260220;102217","20260220","20260220","BUY","25","397.66","9941.5","-9942.5","-1"
"STK","MSFT","","","","9038224223","20260220;102217","20260220","20260220","BUY","25","397.66","9941.5","-9942.5","-1"
"STK","MSFT","","","","","","MULTI","MULTI","SELL","-45","399.155331111","-17961.9899","17959.981125","-2.008775"
"STK","MSFT","","","","","20260205;132744","20260205","20260205","SELL","-20","401.461995","-8029.2399","8028.236","-1.0039"
"STK","MSFT","","","","8962549287","20260205;132744","20260205","20260205","SELL","-13","401.4628","-5219.0164","5218.013865","-1.002535"
"STK","MSFT","","","","8962549323","20260205;132744","20260205","20260205","SELL","-7","401.4605","-2810.2235","2810.222135","-0.001365"
"STK","MSFT","","","","","20260220;101521","20260220","20260220","SELL","-25","397.31","-9932.75","9931.745125","-1.004875"
"STK","MSFT","","","","9038042953","20260220;101521","20260220","20260220","SELL","-25","397.31","-9932.75","9931.745125","-1.004875"
"STK","SPY","","","","","","MULTI","MULTI","BUY","2200","689.511779545","1516925.915","-1516949.915","-24"
"STK","SPY","","","","","20260102;111541","20260102","20260102","BUY","100","682.21","68221","-68222","-1"
"STK","SPY","","","","8761124924","20260102;111541","20260102","20260102","BUY","100","682.21","68221","-68222","-1"
"STK","SPY","","","","","20260105;093633","20260105","20260105","BUY","100","686.798","68679.8","-68680.8","-1"
"STK","SPY","","","","8766537646","20260105;093633","20260105","20260105","BUY","100","686.798","68679.8","-68680.8","-1"
"STK","SPY","","","","","20260105;102805","20260105","20260105","BUY","100","688.4687","68846.87","-68847.87","-1"
"STK","SPY","","","","8768591425","20260105;102805","20260105","20260105","BUY","100","688.4687","68846.87","-68847.87","-1"
"STK","SPY","","","","","20260107;103434","20260107","20260107","BUY","100","692.04","69204","-69205","-1"
"STK","SPY","","","","8783851848","20260107;103434","20260107","20260107","BUY","100","692.04","69204","-69205","-1"
"STK","SPY","","","","","20260107;105600","20260107","20260107","BUY","100","692.47","69247","-69248","-1"
